"customer_id","first_name","last_name","phone","email","street","city","state","zip_code"
"10","Pamelia","Newman",NULL,"pamelia.newman@gmail.com","476 Chestnut Ave. ","Monroe","NY","10950"
"99","Carie","Kidd",NULL,"carie.kidd@yahoo.com","6 East Clinton Street ","Monroe","NY","10950"
"115","Rey","Lindsay",NULL,"rey.lindsay@gmail.com","16 Philmont St. ","Monroe","NY","10950"
"277","Mark","Garrett",NULL,"mark.garrett@msn.com","285 Rosewood Dr. ","Monroe","NY","10950"
"421","Iola","Rasmussen",NULL,"iola.rasmussen@yahoo.com","283 N. Manor Station Dr. ","Monroe","NY","10950"
"556","Vernell","Goff",NULL,"vernell.goff@msn.com","77 Cobblestone St. ","Monroe","NY","10950"
"558","Carroll","Kelly",NULL,"carroll.kelly@yahoo.com","346 Grant Circle ","Monroe","NY","10950"
"661","Trena","Hudson",NULL,"trena.hudson@hotmail.com","135 Grand Ave. ","Monroe","NY","10950"
"935","Genevie","Miles",NULL,"genevie.miles@aol.com","45 West Sulphur Springs Ave. ","Monroe","NY","10950"
"990","Casimira","Chapman",NULL,"casimira.chapman@yahoo.com","67 Snake Hill St. ","Monroe","NY","10950"
"1327","Consuela","Romero",NULL,"consuela.romero@hotmail.com","54 Elm Court ","Monroe","NY","10950"
