1,Mariana,user0@email.com,2025-01-15,Padrão,Ativo
2,Lucas,user1@email.com,2024-07-20,Padrão,Ativo
3,João,user2@email.com,2024-08-05,Premium,Ativo
4,Juliana,user3@email.com,2025-01-31,Premium,Ativo
5,Mariana,user4@email.com,2024-05-12,Básico,Cancelado
6,Mariana,user5@email.com,2024-10-11,Padrão,Cancelado
7,Lucas,user6@email.com,2024-11-24,Premium,Ativo
8,João,user7@email.com,2024-10-29,Básico,Ativo
9,Carlos,user8@email.com,2024-05-24,Padrão,Cancelado
10,Pedro,user9@email.com,2024-11-20,Básico,Cancelado
11,João,user10@email.com,2024-12-03,Padrão,Cancelado
12,Carlos,user11@email.com,2024-05-14,Padrão,Ativo
13,Pedro,user12@email.com,2024-10-13,Padrão,Ativo
14,Carlos,user13@email.com,2024-07-13,Padrão,Ativo
15,Lucas,user14@email.com,2024-10-27,Básico,Cancelado
16,João,user15@email.com,2024-04-17,Básico,Ativo
17,Carlos,user16@email.com,2024-12-11,Premium,Cancelado
18,Ana,user17@email.com,2024-05-18,Premium,Ativo
19,João,user18@email.com,2024-12-12,Premium,Ativo
20,Juliana,user19@email.com,2024-09-12,Básico,Cancelado
21,Fernanda,user20@email.com,2024-07-03,Básico,Ativo
22,Ana,user21@email.com,2024-09-30,Premium,Ativo
23,Fernanda,user22@email.com,2024-04-13,Básico,Ativo
24,Lucas,user23@email.com,2024-07-26,Padrão,Ativo
25,Juliana,user24@email.com,2024-05-29,Premium,Cancelado
26,Fernanda,user25@email.com,2024-12-09,Premium,Cancelado
27,Lucas,user26@email.com,2024-09-17,Premium,Cancelado
28,Juliana,user27@email.com,2024-10-01,Padrão,Cancelado
29,Carlos,user28@email.com,2024-11-20,Básico,Ativo
30,Juliana,user29@email.com,2024-09-06,Básico,Ativo
31,Pedro,user30@email.com,2025-01-29,Padrão,Cancelado
32,Pedro,user31@email.com,2024-06-22,Padrão,Cancelado
33,Carlos,user32@email.com,2025-01-03,Padrão,Ativo
34,João,user33@email.com,2024-11-19,Básico,Ativo
35,Juliana,user34@email.com,2025-02-06,Básico,Cancelado
36,Pedro,user35@email.com,2025-01-29,Padrão,Cancelado
37,Mariana,user36@email.com,2024-06-11,Premium,Ativo
38,Ana,user37@email.com,2024-09-03,Básico,Cancelado
39,Pedro,user38@email.com,2024-06-27,Premium,Cancelado
40,Juliana,user39@email.com,2024-09-15,Premium,Ativo
41,Ana,user40@email.com,2024-06-05,Premium,Cancelado
